Article,Date,Heading,NewsType
"Singapore: Buoyant oil prices sustained a rally in Asia Wednesday driven by hopes the crude supply glut would ease and expectations the US central bank would hold off from raising interest rates.A softening of the US currency also helped bolster prices as the dollar-priced commodity becomes cheaper for holders of weaker units, spurring demand, analysts said.US benchmark West Texas Intermediate (WTI) for November delivery rose 55 cents to $49.08 and Brent crude for November advanced 40 cents to $52.32 a barrel in late-morning trade.Prices fell to six-year lows in August on strong production from the United States and the Organization of the Petroleum Exporting Countries, but have since crept higher.The recent rally began last week after data showed a drop in US drilling activity, raising hopes this would help ease the oversupply.The US Department of Energy has forecast production to decline to an average of 8.9 million barrels per day next year from 9.2 million in 2015.Expectations that the Federal Reserve, the US central bank, would not raise interest rates this year because of the weak global economy also boosted oil prices, analysts said.""We no longer look for lift-off until the first quarter of 2016. It may not come then either,"" DBS Bank said.Bernard Aw, market strategist at IG Markets in Singapore, said an interest rate hike seemed less likely after the International Monetary Fund (IMF) on Tuesday downgraded its growth forecasts for the world economy.The global economy will expand just 3.1 percent this year and 3.6 percent next year, the IMF predicted, revising downward its previous forecasts by 0.2 percentage points in both cases.""It is no secret that the IMF wants the Fed to delay its planned rate hike until next year, and the economic undercurrents increasingly lean towards that direction,"" Aw said.""Furthermore, the IMF sees risks for emerging economies.""A rate increase will typically boost the dollar, making oil more expensive, hurting demand and prices.                        










",10/7/2015,oil prices sustain rally,business
"WASHINGTON: An International Monetary Fund (IMF) report on Tuesday said that the government of Pakistan has given a timetable for privatisation to IMF according to which privatisation for Pakistan International Airlines (PIA) will be completed by December this year, while for Pakistan Steel Mills (PSM) by March 2016.Meanwhile, speaking on conference call to journalists in Pakistan, IMF Mission Chief Pakistan, Harald Finger, said that the privatization of public entities in Pakistan is slow, however, the delay process exists in most countries. He added that the restructuring of railways is highly recommended.He went on to say that distributing companies in the power sector need to be privatised, while the collection of bills needs to increase, theft should be controlled and reduction in line losses should be maintained.Harald Finger further said that circular debt stands at 2 percent of the GDP and over three years it needs to come further down. 










",10/7/2015,imf apprised of privatisation plan for pia ,business
"KARACHI: Pakistan’s total liquid foreign exchange reserves have risen to 20.05402 billion dollars, said State Bank of Pakistan (SBP) on Thursday.According to SBP, the forex reserves held by the SBP on October 2 amounted to 15.202 billion dollars while the net foreign reserves with other banks stood at 4.85202 billion dollars.During the week ending October 2, SBP’s liquid foreign exchange reserves increased by 1.794 billion dollars to 15.202 billion dollars compared to 13.408 billion dollars in the previous week.During the week, the SBP received 505 million dollars from International Monetary Fund (IMF) under EFF, 500 million dollars as proceeds of Pakistan International Bonds, 376 million dollars under Coalition Support Fund (CSF) and 263 million dollars as syndicate financing for Government of Pakistan. (APP) 










",10/8/2015,pakistans forex reserves climb to 20.05402 b,business
"ISLAMABAD: Erratic monsoon rains have made it increasingly hard for rice farmer Sardar Muhammad to bring in a good harvest. But learning how to plant seed directly in his fields – rather than transplanting seedlings, as farmers have for centuries in parched Punjab province – is helping him manage scarce water better and get a decent crop. Growing rice this way ""requires less labour, less irrigation"", he said. The rice seed is sown straight into moist soil and does not require continuous submergence.So far 30 farmers have applied the improved, water-saving rice cultivation technique on a total of 48 hectares (118.6 acres) in Punjab province. With the traditional method, in contrast, rice seedlings are first cultivated in nurseries for several weeks before being transferred to flooded fields. About a third more water is required through the growing cycle, and the crop takes 15 to 20 days longer to mature. On average in Pakistan, some 3,000 litres of water are used to produce 1 kilogramme of rice, which is the main staple food.But as the country's already scarce water resources dwindle, there is increasing pressure to find more water-efficient growing methods. A recent report from the Planning Commission of Pakistan shows that, in 1951, per-capita water availability was 5,650 cubic metres. By 2010, that figure had plunged to 1,000 cubic metres and is projected to fall to 800 cubic metres by 2025, when the population is expected to hit 221 million.Finding ways to grow more food with less water will be crucial in Pakistan as climate change alters weather patterns, affects monsoon rainfall and reduces groundwater, experts say.Planting rice directly in fields may be one way to keep up food production and help reduce the migration already happening as hard-hit, small-scale farmers give up on their fields and trek to towns and cities in search of other work.INNOVATION BENEFITSMuhammad, who grows rice on his family's 15 hectares (37 acres) in Sheikhupura district, said switching to the new planting method had cut the amount of irrigation needed in his rice fields by around 40 percent, a crucial change as groundwater levels drop.""This is really no small benefit,"" he said, smiling. ""This is helping us adapt to water shortages.""Muhammad learned the new technique under a four-year agricultural innovation programme, launched in 2013 by partners including the US Agency for International Development (USAID) and the International Rice Research Institute.The $30 million project aims to help Pakistan's farmers boost their profits while coping with climate change risks to the sustainability of water and agriculture, said John Groarke, head of USAID in Pakistan.Besides its work on rice, the programme has introduced heat-tolerant maize and higher-yielding wheat varieties, he added.Muhammad Ibrahim Mughal, chairman of Agri Forum Pakistan, a farmers' rights organisation, said traditional rice cultivation was time-consuming and laborious, as farmers spend long hours bent over in fields.It has also become less viable as river flows decrease and groundwater declines, he added.As a result, farmers are now increasingly willing to experiment with the new growing technique, said Sardar Karim, another farmer from Punjab province.Direct sowing is producing a 25 percent boost in harvests under ideal conditions on the test plots, said Iftikhar Ahmed, chairman of the Pakistan Agricultural Research Council.                        










",10/8/2015,water short pakistani farmers test less thirsty way to grow ri,business
"KHUSHAB: National Electric Power Regulatory Authority (NEPRA) has announced an advance tariff for a local company engaged in the generation of electricity through a solar plant.NEPRA in its decision has fixed the per unit rate of the electricity produced here at Rs15.77.The company that produces 12 MW of electricity through a solar plant had applied for the advance tariff. This project is meant to be installed at Adhikot area of Tehsil Thal, District Khushab. 










",10/11/2015,nepra announces advance tariff for khushab solar ,business
"LAHORE: The All Pakistan Textile Mills Association (APTMA) Punjab Zone will observe a black day on Wednesday the 14th of October to protest against the Punjab government not having accepted their demands. Addressing a press conference in Lahore, Chairman APTMA Punjab, Amir Fayaz said the association had been conveying their reservations and grievances to the government for the last many months, but the government has done nothing besides offering comforting statements. He stressed that due to existing electricity tariffs and the shortage of gas, the textile industry is suffering. He added that approximately 30-35 mills have shut down, adding that on the 14th of October all mills will remain closed.  










",10/13/2015,aptma punjab zone to observe black day tomorr,business
"ISLAMABAD: Managing Director Nandipur Power Project, Mohammad Mehmood on Wednesday was sacked by the ministry of water and power amid allegation of corruption.According to an official notification, Tariq Bhatti has been given the post replacing Mehmmood, who has also been directed to report to the ministry.Prime Minister Nawaz Sharif had ordered an audit of the controversial project after allegations of corruption surfaced in September this year.Acting upon the prime minister’s orders, the water & power ministry directed the Auditor General to conduct the audit with three terms of reference: (1) Reason behind the increasing cost of the project (2) Amount that has been spent so far (3) Whether the Board, Administration of the project and the contractor fulfilled their responsibilities.                        










",10/14/2015,tariq bhatti replaces mohammad mehmood as md nandipur proj,business
"London: Crude prices fell Thursday awaiting the release of official data on the levels of US commercial energy inventories for clues on demand in the world´s biggest oil consumer.US benchmark West Texas Intermediate (WTI) for delivery in November delivery dropped 63 cents to $46.01 a barrel from Wednesday´s close.Brent North Sea crude for November delivery fell 18 cents to stand at $48.97 a barrel in London afternoon deals.The US Department of Energy will publish inventory data against a backdrop of market concern about a supply glut owing in part to weaker demand from China, the world´s biggest energy consumer.Prices had fallen Wednesday, as weak Chinese trade data and poor consumer spending numbers in the US added to a picture of a slowing global economy.Underpinning the bearish sentiment has been a forecast this week from the International Energy Agency that pointed to much slower oil demand growth next year.US crude inventories are meanwhile expected to have risen last week.A Bloomberg News survey showed stockpiles are expected to have increased by 2.58 million barrels in the week to October 9.                        










",10/15/2015,oil prices fall before us inventory d,business
"ISLAMABAD: Pakistan and Russia on Friday signed an inter-governmental agreement for the construction of 1100-kilometer gas pipeline project from Karachi to Lahore.Minister for Petroleum and Natural Resources Shahid Khaqan Abbasi and Russian Energy Minister Alexander Novak signed the agreement at a ceremony also attended by Prime Minister Nawaz Sharif in Islamabad today.The 1,100 kilometer pipeline with a capacity of 12.4bcm per annum will connect liquefied natural gas (LNG) terminals of Karachi with those of Lahore.Russia will make an investment of $2 billion in the project, the first phase of which is expected to be completed by December 2017.                        










",10/16/2015,pakistan russia ink agreement to build karachi lahore gas pipeli,business
"ISLAMABAD: Chairman All Pakistan Textile Mills Association (APTMA), Tariq Saood on Saturday said government seems to be showing some flexibility in connection with bringing down the power tariff and taxes.He was talking to media persons after a delegation of APTMA and representatives of textile exports association held a meeting with the Federal Minister for Finance, Ishaq Dar here.The APTMA Chairman said talks were underway with the government over their demand for a reduction in Rs170 billion additional taxes on Textiles Sector.During the meeting, he said, the delegation also called for bringing down regulatory duty on import of Indian yarn besides slashing the prices of electricity and gas tariffs.He said now the APTMA delegation was in talks with Advisor Revenue, Haroon Akhtar and Chairman Federal Board of Revenue (FBR).                        










",10/17/2015,aptma chairman sees flexibility in govt over demand,business
