Article,Date,Heading,NewsType
"TOKYO: Asian shares were on the defensive on Monday, undermined by fears that the strength in the U.S. dollar and rising U.S. bond yields since Donald Trump's election to president could accelerate fund outflows from emerging markets.</strongMSCI's broadest index of Asia-Pacific shares outside Japan dipped 0.1 percent, staying near four-month lows. Japan's Nikkei rose 0.3 percent as the yen continued to slip against the dollar.Trump's unexpected election victory has led to a major repricing of assets, with investors rushing to buy U.S. stocks and the dollar, while dumping bonds and emerging market assets.Carrying out even some of his plans for deregulation and tax cuts would undermine assumptions investors had long held - that the U.S. economy would grow modestly and inflation would remain tame in the foreseeable future.Trump's protectionism could hurt many of U.S. trade partners, including emerging markets which could see decline in exports to the U.S..To be sure, investors have little idea to what extent Trump can implement his proposals, including slapping tariffs on major trading partners such as China and Mexico and heavy tax cuts that would widen the U.S. fiscal deficit.Some investors think the market will have reality check as soon as differences between the new administration and Congress appear over some of Trump's policies.""Next week, we have events that would make investors more sober, such as OPEC meeting and Italian referendum. By then this Trump-inspired market may come to an end for now,"" said Norihiro Fujito, senior investment strategist at Mitsubishi UFJ Morgan Stanley Securities.Yet heightened uncertainty prompted investors to demand a larger premium for holding long-term U.S. debt, with the 10-year U.S. Treasuries yield soaring to 2.364 percent by last week from around 1.86 percent before the elections.It last stood at 2.353 percent, with a rise above its 2015 peak of 2.5 percent seen as having potential to spark a further sell-off as bond prices fall.Higher U.S. yields are helping the dollar continue its bull run. The U.S. unit rose to as high as 111.125, its highest level since early June. It last stood at 110.865.It has risen almost 10 percent from its low of 101.19 hit on Nov 9, when markets initially took Trump's victory will trigger a rush to safer assets such as the yen.The euro traded $1.0589, having hit a near one-year low of $1.0569 on Friday.The Australian dollar hit 4 1/2-month low of $0.7315.The data from the U.S. financial watchdog showed on Friday that in the first week after the U.S. elections speculators hardly increased their net long positions in the dollar.""This suggests the leveraged fund community largely missed out on the dollar rally,"" analysts at ANZ Research wrote.Oil prices rose in early Monday trade after five-percent gains last week, their first weekly gains in about a month, on growing expectations that OPEC will find a way to cap production.The Organization of the Petroleum Exporting Countries is moving closer to finalising its first deal since 2008 to limit output, with most members prepared to offer Iran flexibility on production volumes, ministers and sources said.Brent crude futures LCOc1 rose 1.1 percent to $47.35 per barrel.",11/21/2016,Asian shares on the defensive as US yields dollar ri,business
"DUBAI: Pakistan International Airlines is looking at Boeing's 777X and Airbus's A330 and and A350 models as it evaluates options for new aircraft orders, an airline executive told reporters on Tuesday.</strongAs part of its evaluation of potential aircraft orders, the airline was not considering Airbus's A380 or Boeing's 787 aircraft, the latter of which has ""some technical issues,"" said Raheel Ahmed, executive director of human resources and works at the airline.",11/22/2016,Expanding wings PIA weighs Boeing Airbus aircraft order,business
"PANAMA CITY: Panama can remain a competitive financial center while cracking down on tax evaders and other criminals who have used the country to launder money, according to the panel formed by the government after the ""Panama Papers"" scandal broke in April.</strongThe five-member ""Committee of Independent Experts"", including a former boss of the Panama Canal, said the country needs to get in line with United Nations transparency standards, adopt tougher anti-corruption legislation and tighten regulation of trusts.""The moment has come. The country can no longer postpone decision-making in this field,"" said the 23-page report released on Monday.A leak in April of more than 11.5 million documents from the Panamanian law firm Mossack Fonseca, dubbed the Panama Papers, sparked outrage by showing how the rich in many countries go offshore to avoid paying taxes while working families pay theirs.""Panama is already acting on most of these issues, including strengthening the regulations that apply to trusts and aligning ourselves with international standards,"" Dulcidio de la Guardia, the country's economy minister, told Reuters in a telephone interview after the report was released.He said the budgets of financial regulatory agencies have already been raised as part of the effort.The report, which stressed the need for Panama to remain a magnet for banking and other service industries, calls for ""transparency in identifying the final beneficiary of legal and financial instrument"".This was a recommendation made by Nobel Prize-winning economist Joseph Stiglitz and Swiss anti-corruption expert Mark Pieth, both of whom resigned from the panel in August, claiming that Panama would not promise to make its report public without first being vetted by the government.The official report went to President Juan Carlos Varela on Friday, before being released on Monday.Stiglitz and Pieth published findings of their own last week, saying that countries that fail to give up their secrecy jurisdictions should be cut off from the global financial system.The Panama Papers showed money was hidden in ways that law enforcement agencies could not detect. The culprits were not only tax dodgers, Stiglitz and Pieth said, but money launderers for a wide variety of criminal groups including a Russian child pornography ring.The official report calls for ""anti-corruption legislation that addresses acts performed by Panamanian nationals or economic groups established in Panama that directly or indirectly participate in the implementation of illegal activities in third countries.""",11/22/2016,Panama needs new anti corruption laws combat tax dodger,business
"TOKYO: Tokyo stocks opened flat on Tuesday as investors assessed the impact of a strong earthquake that triggered tsunamis along Japan´s northeast coast, although no major damage was immediately reported.</strongTokyo´s bellwether Nikkei index had risen to a 10-month high by Monday as the dollar soared against the yen on expectations the Federal Reserve will raise interest rates next month.But the yen, which is often bought as a safe haven in time of uncertainty, strengthened Tuesday soon after the quake.""Stocks would have been off to a strong start but there´s a bit of a wait-and-see mode due to the earthquake,"" said Nobuyuki Fujimoto, a senior market analyst at SBI Securities Co.""Investors will eye news on the earthquake but as long as the damage isn´t extreme, there won´t be lasting impact on markets,"" he told Bloomberg News.The benchmark Nikkei 225 index slipped 0.09 percent, or 15.62 points, to 18,090.40 in the first few minutes of trading, while the Topix index of all first-section issues was up 0.04 percent, or 0.52 points, at 1,443.45.The dollar was trading at 110.60 yen Tuesday, compared with levels above 111 yen seen before the earthquake.A stronger yen is negative to the stock market as it eats into exporters´ profitability.A powerful 6.9-magnitude earthquake hit Japan´s northeast early Tuesday, triggering warnings of tsunami waves as high as three metres (10 feet) on the coast near the stricken Fukushima nuclear power plant.Several tsunamis, the biggest measuring 1.4 metres (4.6 feet), were observed on the northeastern coast, according to NHK.One measuring one metre (3.3 feet) was recorded at the Fukushima plant but operator Tokyo Electric Power (TEPCO) said there were no reports of any problems as a result of the wave.Shares in TEPCO fell 1.17 percent to 422 yen in early trading.",11/22/2016,Tokyo stocks open flat after quake tsunami,business
"SANTIAGO: China´s President Xi Jinping vowed to strengthen world trade in the face of US President-elect Donald Trump´s threat to pull out of a key trans-Pacific accord.Speaking on a visit to Chile on Tuesday, he vowed to ""push to build an Asia-Pacific free-trade zone and an open world economy.""Trump on Monday vowed to withdraw the United States from the Trans-Pacific Partnership (TPP) trade pact on his first day in the White House.On the last stop of a tour to strengthen trade ties in Latin America, Xi said he and Chile´s President Michelle Bachelet agreed to join in a ""full strategic relationship.""They expanded their countries´ existing free trade agreement and signed 12 cooperation agreements.""To drive the long-term development of bilateral ties, we have decided to enhance our bilateral relations to a strategic relationship and open a new page in ties between Chine and Chile,"" Xi told a news conference.Chile is the world´s biggest copper producer and the second-largest producer of salmon.China is its biggest trade partner, receiving a quarter of all Chilean exports last year.Xi also signed 18 new agreements with Peru on Monday. ",11/23/2016,China defends Asia Pacific trade after Trump thr,business
"ISLAMABAD: As Senate Chairman Raza Rabbani ruled against government institutions which refused to disclose names of beneficiaries before the Parliament, Jang Group's months long investigation revealed that more than 80 percent loans were written off by the state-owned banks and private financial institutions in last 25 years in tenure of former military ruler Pervez Musharraf, bursting the myth of politicians being the most corrupt lot.Of estimated total Rs209 billion, one hundred and seventy six billion rupees (Rs176 billion) were waived off by state-run-banks and private banks from 1999 to 2008, showed official documents exclusively obtained by Geo News/The News/Daily Jang from the State Bank of Pakistan (SBP), Supreme Court of Pakistan (SCP) and other public and private financial institutions.Around 172 biggest defaulters, who got waived off their loans worth over Rs50 million each, included politicians, retired generals, businessmen, industrialists and agriculturalists.Estimated loans worth Rs22.823 billion waived off in three tenures of Pakistan Muslim League-Nawaz (PML-N) which ruled the country from 1991-1993, 1997-1999 and 2013 to onward, according to official documents accessed by this correspondent.Estimated Rs14.129 billion were waived off by commercial banks in three terms of Pakistan Peoples’ Party (PPP) which ruled the country from 1988-1990, 1993-1996 and 2008 to 2013.State-run financial institution—National Bank of Pakistan (NBP)—waived off estimated Rs32 billion from 1990 to 2015. Of these Rs32 billion, around Rs27 billion (80%) were written off in Musharraf’s regime.Of estimated Rs11 billion, over eight billion rupees (Rs8 billion) were waived off by another state-owned bank—Zarai Taraqiati Bank Limited (ZTBL)—from 1999 to 2008. Around 0.7 million borrowers either got waived off their principle amount worth estimated Rs99.197 billion during this period, markup amount worth Rs40.343 billion or in terms of miscellaneous cases worth Rs69.403 billion, documents further revealed.Around 5, 611 borrowers got their loans worth Rs27.3 billion waived off from different banks in 2008 and 3, 028 borrowers got written off their loans worth Rs25.2 billion in 2007.As many as 4, 018 borrowers got their loans worth Rs33.5 billion waived off in 2006—the year witnessed a record waiver in twelve months in country’s history.Three dozen commercial banks waived off Rs30.5 billion of 1, 108 borrowers in 2005, Rs21.5 billion loans of 1, 005 individuals in 2004, Rs9.3 billion of 718 borrowers in 2003, Rs14.7 loans of 787 customers waived off in 2002, Rs5.8 billion loans of 785 individuals in 2001, Rs3.3 billion loans of 424 customers in 2000 and 612 borrowers got off their loans worth Rs5.1 billion in 1999.Estimated Rs5.19 billion were written off by various banks in 2013, Rs4.518 billion in 2014, Rs9.815 billion and Rs3.3 billion this year while Rs11.3 billion were waived off in two terms of PML-N (1991-93 &amp; 1996-1999).Estimated Rs9.1 billion were waived off in last government of PPP (2008 to 2013), Rs2 billion from 1993 to 1996 in second term while Rs3 billion were written off in PPP’s first regime started from 1988 to 1990.Around 912 borrowers got their loans waived off more than Rs50 million while over 20, 000 borrowers obtained benefits in terms of getting their loans written off worth less than Rs0.5 million with an estimated collective amount of Rs50 billion.The case of loans waived off was with the SCP since 2009 where judges observed: “We [judges] fail to understand why government was not interested in recovering loans which belong to public exchequer and this court took suo moto notice, constituted a commission which concluded that the loans were written off contrary to the law prevailing at the time.”Around 856 individuals got waived off their loans worth estimated Rs32 billion from state-run financial institution—NBP—from 1990 to 2015. Some 129 individuals got their loans waived off over Rs50 million each during this period.Estimated loans worth Rs4 billion of 129 individuals written off by NBP in three tenures (including the current one) of PML-N.Estimated loans worth Rs1 billion were waived off by NBP in three terms of PPP (1989-90, 1993-96 and 2008-2013). Some 18 individuals benefitted from it.NBP waived off loans worth Rs89 million in 2015, Rs303 million in 2014, Rs80 million in 2013, Rs224 million in 2012, Rs297 million in 2011, Rs472 million of 24 individuals in 2010, Rs639 million of 29 individuals in 2009, Rs2.5 billion of 68 individuals in 2008, Rs4.3 billion of 123 borrowers in 2007, Rs2.9 billion of 103 individuals in 2006 and Rs4.8 billion of 166 borrowers in 2005.Around 657 individuals got waived off loans worth Rs11 billion from ZTBL in 1990 to 2015. Some 43 individuals go their loans waived off more than Rs50 million each during this period.Loans worth estimated Rs8 billion were waived off in Musharraf’s era. Some 190 borrowers got waived off their loans worth Rs1.140 billion in PPP’s three tenures. Around Rs2.1 billion of around 203 borrowers were waived off in three tenures of PML-N.ZTBL administration waived off loans worth Rs196 million of 252 borrowers in 2015, Rs48 million of 51 individuals in 2014, Rs128 million of 47 borrowers in 2013, Rs213 million of 71 borrowers in 2012, Rs73 million of 87 borrowers in 2011, Rs11 million of 11 individuals in 2010 and Rs730 million of 55 borrowers were waived off in 2009.Geo News approached NBP, ZTBL, BoP and Khyber Bank for comments but they did not respond despite several reminders.Salman Shah, a key member of Musharraf team from 2004 to 2008 said it was a move to revive Pakistan’s economy. “Waiver of maximum loans in Musharraf’s era was an effort to revive economy of the country,” he said.Economic expert, Sakib Sherani says, ""there could be a number of reasons for the spike in loans write-offs during the Musharraf’s period.” Loans written off during one period usually represent bad lending practices of an earlier period, he explained.“Another reason is associated with the creation of PML-Q during 2002-03. Musharraf had massive loans of ‘King's party’ leaders written off from financial institutions such as NBP, NDFC and others to make them eligible to contest elections and as political bribes,"" he said.Top 15 Borrowers Beneficiaries</ As many as top borrowers got their loans waived off which were later counted over one billion rupees each or bit less than it.Siraj Steels Limited, owned by Muhammad Qasim and others, got waived off loans worth Rs1.5 billion in 2006.Spinning Machinery Company Pakistan got waived off loans worth Rs1.4 billion. Pakistan National Textile Mills, owned by Agha Tajamrnal Hussain and others got waived their loans worth Rs1.2 billion in 2008.Mohib Textile Mills (Pvt) Ltd got waived off loans worth Rs1.2 billion from NBP in 2002 where Asif Saigol, Arif Saigol and others pursued case of loans with the said bank.Saadl Cement Limited got waived off Rs1.3 billion from NBP where Zaheer Mustafa Jaleel, Farrukh Waqaruddin Junaidi and others were directors of the said company in 2004.Quality Steel Works Limited, owned by Major General (Retd) Farhat Ali Khan Burkigot waived off loans worth Rs962 million in 2005. Kohinoor Looms Limited owned by Mian Javed Saigol and others got waived off loans worth Rs946 million in 2005.The NBP administration waived off loans worth Rs901 million of Qurel Cassette Limited, owned by Major General (Retd) Abdul Qayyum in 2004.The NBP administration waived loans worth Rs748 million of Metropolitan Steel Corporation run by H.N.Akhtar, Aslam Gadit and others in 2003. Borrower Company ‘First Tawakkal Modaraba’ got waived off Rs629 million in 2002 where Qadir Tawakkal and Refigure Tawakkal and others floated the request.TRANSTECH Pvt. Ltd, owned by Ather Maqbool and others got waived off its loans worth Rs403 million from ZTBL in 2005.Pakpattan Diaries Ltd, owned by Farooq Maneka, Gohar Maneka and others got its loans worth Rs468 million waived off from ZTBL in 2008.Multan Edible Oil, owned by Munawar Sindh, got waived off loans worth Rs355 million from ZTBL in 2008. Ravi Agri and Diary Products, owned by Mohammad Akram, Mst. Murad Begum, Muhammad Saleem and others got waived off loans worth Rs510 million from ZTBL in 2005.Debts of Foreign Companies Waived Off by NBP<br/>Yahoo Sang Yul Non No Com Ltd. also got waived off Rs73.646 loans from NBP in 1995. VIU Wing Canst. Com. Ltd. also got its loans worth 134.5 million waived off from NBP in 1997.General Nile Delta Bux Co also got its loans worth Rs51.9 million from NBP in 1991. Shrimati Ltd. owned by Guria Chandan Ramchand and others got waived off loans worth Rs34.052 and NBP also waived off Rs1.6 million of Sun Rise International owned by M. J. Mohandas and others.Waiver by Provincial State-Owned Banks</strongThe Bank of Punjab (BoP) waived off Rs1.5 billion of 123 borrowers in last ten years.<br/>More than Rs403 million loans of 22 borrowers in 2015, Rs77 million loans of 10 borrowers in 2014, Rs89 million of 15 borrowers in 2013, Rs489 million of 12 individuals in 2012, Rs85 million of three borrowers in 2011, Rs6 million of four individuals in 2010, Rs8 million of seven borrowers in 2009 and Rs15 million of nine borrowers were written off by the BoP in 2008.Some Rs331 million of 19 borrowers in 2007, Rs30 million of 10 individuals in 2006 and Rs28 million of 12 borrowers were waived off by the BoP.Similarly, Bank of Khyber waived off Rs691 million of 58 borrowers in last eight years. It waived off Rs161 million of 11 borrowers in 2015, Rs77 million of 11 borrowers in 2014, Rs219 million of 12 borrowers in 2013, Rs87 million of nine borrowers in 2012, Rs111 million of three borrowers in 2011, Rs18 million of eight borrowers in 2010, Rs14 million of one borrower in 2009 and Rs4 million of three borrowers were waived off in 2008.The Sindh Bank did not waive off any loans since its establishment in 2010. “Sindh Bank has not waived off /written off any loans from the banks inception date that is April 24, 2011 till present,” said Saima Aziz, Vice President Product Development Sind Bank in Karachi.",11/23/2016,Most loans written off in Musharrafs er,business
"SINGAPORE: Oil prices edged up on Wednesday in anticipation of an OPEC-led crude production cut that is planned to be finalised by the end of the month, through trading was thin ahead of the U.S. Thanksgiving holiday on Thursday.</strongU.S. West Texas Intermediate (WTI) crude oil futures were trading at $46.13 at 0128 GMT, up 10 cents from their last settlement.International Brent crude oil futures were at $49.22 a barrel, up 10 cents. Reuters commodities analyst Wang Tao said that Brent could rise to $49.85 per barrel, a level marked by several technical resistance factors.Despite Wednesday's slight increases, analysts said that the market was currently unwilling to push crude prices to $50 a barrel or higher.""The market seems unwilling to push oil towards $50 a barrel ahead of the Thanksgiving holiday tomorrow,"" said Jeffrey Halley, senior market analyst at OANDA brokerage in Singapore. ""Their reticence is understandable given that longs (long positions) put on above that level have not ended well in recent times.""""Tonight's (U.S.) EIA Crude Inventory numbers should provide a welcome, albeit temporary sideshow to the OPEC main event. Otherwise, we expect Asia to continue the sideways trading ranges,"" Halley said.The Energy Information Administration (EIA) is due to publish official U.S. crude oil and refined product inventory data later on Wednesday.Wednesday's lethargy came after oil prices rallied earlier this week. Traders anticipated the Organization of the Petroleum Exporting Countries (OPEC) would successfully implement a planned, coordinated production cut - to be discussed at a Nov. 30 meeting - in order to prop up prices.However, by late Tuesday analysts had become wary of the prospects for such a deal, as it remained unclear whether major OPEC-producers Iraq and Iran were willing to participate in a meaningful way.""Cracks in the OPEC production cut agreement could see oil prices weaker in trading today,"" ANZ bank said in a note on Wednesday.""A preliminary meeting ahead of next week's OPEC gathering failed to resolve the issues around Iran and Iraq's involvement in the production cut agreement,"" it said. ""Despite this hiccup, we still expect the group to reach an agreement next week.""",11/23/2016,Oil prices edge up on anticipation of OPEC led production cu,business
"TOKYO: Pakistan LNG Ltd has received strong interest in its tender to buy as many as 240 shipments of liquefied natural gas (LNG) from suppliers hungry to sell gas in an oversupplied market, a senior official told Reuters on Thursday.</strongThe emergence of Pakistan as a large-scale buyer is a welcome boost in the market for the supercooled gas as demand slows in traditional big buyers like Japan. Spot Asian LNG prices LNG-AS have fallen by two-thirds since the beginning of 2014 as new supplies have flooded the market.Launched earlier this month, the tender for a combination of mid- and long-term shipments ""has been extremely well received,"" said Adnan Gilani, chief operating officer of state-owned Pakistan LNG.""The response is beyond what we thought,"" the executive said, speaking in an interview on the sidelines of an LNG conference in Tokyo. Gilani didn't identify any of the bidding suppliers.The company launched its tender to purchase a combined 240 shipments of liquefied natural gas (LNG),The mid-term tender covers a period of five years and calls for 60 shipments, while the long-term tender is for 15 years and 180 cargoes, according to information presented in the tender documents released on the company's website earlier this month.More than 20 global oil and gas majors and traders attended a bidders conference held by Pakistan LNG two days ago, Gilani said, adding as many as 10 more expressed interest without attending. The deadline for bidding is Dec. 20, he said.Pakistan LNG will launch a new tender for 4.5 million tonnes of LNG ""within a few months"", and six months later it will seek bids for another 4.5 million tonnes, he said.By 2019 Pakistan, which can only meet two-thirds of its gas demand, expects to be importing about 23 million tonnes of LNG a year via five terminals to fuel power stations and vehicles.""We are buying for our baseload needs,"" he said. ""Price is the main variable.""",11/24/2016,New LNG buyer Pakistan sees strong interest in giant tender,business
"ISLAMABAD: Pakistan Electronic Media Regulatory Authority (PEMRA) completed the auction of all three licences for Pakistan’s first Direct to Home Service (DTH) after 15 hours of bidding in the wee hours of Thursday.</strongThe highest bid was raised by Mag Entertainment for Rs 4.91 billion, followed by M/s. Shahzad Sky for Rs 4.90 billion and M/s. Star time for Rs 4.89 billion respectively. A total of 11 companies — Orient Electronics Lahore, Mag Entertainment Lahore, Skyflix Islamabad, Smartimes Communications Islamabad, Sardar Builders Islamabad, Smart Sky Islamabad, Parus Media and Broadcast Islamabad, NayaTel Islamabad, Shahzad Sky, Islamabad, HB DTH Islamabad and IQ Communications Karachi — took part in the bidding process to secure the three licences.“All the three licences were sold for Rs 14.69 billion,” informed Chairman PEMRA Absar Alam, while speaking to the press.PEMRA Chairman congratulated the winning companies and said the initiative was going to be a game-changer for Pakistan’s electronic media industry.“To date, this is the biggest investment in Pakistan’s electronic media history,” he said and added as per the estimates and feasibility studies carried out by PEMRA experts, the overall investment would be $450 million ($150 million each) and could touch $750 million more in the next two years. These estimates did not include the bidding proceeds, he made it clear.The DTH service, he said, was a state-of-the art technology offering new dimensions of distribution system and a wide range of choice to consumers. “The current analogue distribution system is offering a maximum of 80 channels while the DTH would increase the capacity to around 120 and each local DTH licence holder is expected to have at least 500,000 subscribers,” said Absar Alam.Besides lucrative investment, the DTH regime would also make a significant contribution to job generation in the country leading to 15,000 jobs (5,000 by each company) i.e. new direct employment opportunities, he maintained.Absar Alam said the DTH service would not end the cable operators’ business, but would compel them to invest in technology and their distribution systems.However, the media watchdog issued non-exclusive licences for 15 years to the successful bidders after the open outcry bidding.Pakistani DTH services, once launched, will counter the sale of illegal Indian DTH services in Pakistan, which incur a heavy loss to the national exchequer because of transfer of between $200 million to $350 million to India annually on account of subscription fee. Now the legal DTH services will give consumers a choice against the current monopoly of cable operators as well.Pakistan has nearly 25 million electronic media subscribers and between three to five million consumers use Indian DTH illegally. After issuance of licences, subscribers of Indian DTH would have to shift to the local network.Similarly, foreign channels will get landing rights to come under the local regime through a regulatory process and launching of new local satellite channels will be allowed.The DTH licence holders will have to start operations within the year or risk termination of licences. The bidders are required to deposit 15 percent of the bid money at the outset of the bidding as earnest money, followed by 50 percent of the bid money upfront. The remaining amount could be paid immediately or in three yearly instalments at a mark-up rate.Each DTH licence holder is required to pay an annual fee of Rs10 million and contribute two percent of their gross revenue after the first three years of operations.Licenses to the bid winners would be awarded after clearance from the interior ministry and law enforcement agencies.",11/24/2016,Pakistans first DTH licences auctioned for Rs 1469 billi,business
"LONDON: Pakistan has secured an additional $8.5 billion of investment from Beijing as part of the countries' joint energy, transport and infrastructure plan, Planning Minister Ahsan Iqbal said on Wednesday.</strongThat is on top of the $46-billion China-Pakistan Economic Corridor (CPEC) project, which focuses on road building and energy infrastructure to end chronic power shortages in Pakistan and to link China's landlocked north-west with the deep-water port Gwadar on the Arabian Sea.Some $4.5 billion of the additional investment will be spent on upgrading tracks and signaling on Pakistan's main railway line from Karachi to Peshawar and increase the speed on the line to 160 km per hour from the current 60-80 kph, Iqbal told Reuters in an interview.Another $4 billion will go toward an LNG terminal and transmission line, he added.""This has now all been approved, so this is an additional $8.5 billion to the $46 billion we had already, so we are now close to $55 billion,"" Iqbal said.The International Monetary Fund said in June that repayments and profit repatriation from large-scale investments such as CPEC could add to Pakistan's medium- and long-term risks, predicting that the country's gross external financing needs would rise to $15.1 billion in 2018/2019 from $11.4 billion in the current financial year.But Iqbal said those risks would be countered by the economic boost the investment would give to industries such as steel, construction and engineering, pushing future annual growth to above 6 percent.In July the IMF upped its forecast for growth in Pakistan to 5 percent from 4.7 percent in the fiscal year to June 2017, citing China's investment plans.""As the economy grows, our capacity to undertake the responsibilities of repayments also improves, what really matters is that all of that investment is going into productive sectors,"" Iqbal said.Under CPEC, a number of new economic zones will be created along the corridor. Pakistan hopes that some industry will relocate from China, due to cheaper wages and production costs, Iqbal said.""Our preferred mode is joint ventures, because that will give a stake to both Pakistani and Chinese enterprises so now our government is actively promoting business-to-business links,"" he said.",11/24/2016,China to make extra 85 bn investments in Pakistan rail energy,business
